,gender,name,party,suggestion
71,male,John,Republican,"[john cornyn, john cornyn twitter, john cornyn dc office, john cornyn staff, john cornyn senate, john cornyn committees, john cornyn supreme court, john cornyn kkk, john cornyn bio, john cornyn ted cruz]"
72,male,Richard,Democrat,"[richard durbin, richard durbin staff, richard durbin us attorney, richard durbin wellcome trust, richard durbin internship, richard durbin jr, richard durbin bio, richard durbin committees, richard durbin sanger, richard durbin office]"
73,male,Michael,Republican,"[michael enzi, michael enzi senator, michael einziger, michael einziger grammy, michael einziger wife, michael einziger grammys 2016, michael einziger net worth, michael einziger instagram, michael einziger twitter, michael enzi biography]"
74,male,Lindsey,Republican,"[lindsey graham, lindsey graham twitter, lindsey graham trump, lindsey graham donald trump, lindsey graham endorsement, lindsey graham height, lindsey graham for president, lindsey graham sister, lindsey graham senate, lindsey graham cell phone]"
75,male,James,Republican,"[james inhofe, james inhofe snowball, james inhofe senator, james inhofe twitter, james inhofe staff, james inhofe bio, james inhofe quotes, james inhofe climate, james inhofe net worth, james inhofe committees]"
76,male,Mitch,Republican,"[mitch mcconnell, mitch mcconnell turtle, mitch mcconnell twitter, mitch mcconnell supreme court, mitch mcconnell net worth, mitch mcconnell young, mitch mcconnell tpp, mitch mcconnell staff, mitch mcconnell office, mitch mcconnell chief of staff]"
77,male,John,Democrat,"[john reed, john reed loflin, john reeder epa, john reed stark, john reeder, john reed jane eyre, john reed obituary, john reed and louise bryant, john reed citibank, john reedy]"
78,male,Pat,Republican,"[pat robertson, pat roberts, pat roberts senate, pat robertson net worth, pat robertson age, pat roberts gmo, pat robertson college, pat robertson house, pat robertson trump, pat robertson president]"
79,male,Jefferson,Republican,"[jefferson sessions, jefferson sessions biography, jefferson sessions address, jefferson sessions committees, jefferson sessions senator, jefferson sessions contact, jefferson sessions bio, jefferson sessions website, jefferson beauregard sessions iii, jefferson county sessions court]"
80,male,Robert,Republican,"[robert aderholt, robert aderholt for congress, robert aderholt staff, robert aderholt chief of staff, robert aderholt alabama, robert aderholt twitter, robert aderholt campaign, robert aderholt bio, robert aderholt committees, robert aderholt voting record]"
81,male,Joe,Republican,"[joe barton, joe barton for congress, joe barton cornerstone, joe barton staff, joe barton chief of staff, joe barton wind power, joe barton committees, joe barton publishing, joe barton twitter, joe barton writer]"
82,male,Xavier,Democrat,"[xavier becerra, xavier becerra chief of staff, xavier becerra vice president, xavier becerra congress, xavier becerra clinton, xavier becerra hillary clinton, xavier becerra biography, xavier becerra wiki, xavier becerra committees, xavier becerra email]"
83,male,Rob,Republican,"[rob bishop, rob bishop puerto rico, rob bishop staff, rob bishop for congress, rob bishop twitter, rob bishop pli, rob bishop omnibus, rob bishop sage grouse, rob bishop facebook, rob bishop public lands bill]"
84,male,Sanford,Democrat,"[sanford bishop, sanford bishop staff, sanford bishop dc office, sanford bishop for congress, sanford bishop chief of staff, sanford bishop committees, sanford bishop contact information, sanford bishop office albany ga, sanford bishop georgia, sanford bishop albany ga]"
85,female,Marsha,Republican,"[marsha blackburn, marsha blackburn twitter, marsha blackburn committees, marsha blackburn staff, marsha blackburn dc office, marsha blackburn facebook, marsha blackburn for congress, marsha blackburn trump, marsha blackburn instagram, marsha blackburn net worth]"
86,male,Earl,Democrat,"[earl blumenauer, earl blumenauer staff, earl blumenauer twitter, earl blumenauer dc office, earl blumenauer tpp, earl blumenauer for congress, earl blumenauer fruitcake, earl blumenauer facebook, earl blumenauer committee assignments, earl blumenauer internship]"
87,female,Madeleine,Democrat,"[madeleine bordallo, madeleine bordallo staff, madeleine bordallo internship, madeleine bordallo colbert report, madeleine bordallo biography, madeleine bordallo chief of staff, madeleine bordallo congresswoman, madeleine bordallo guam office]"
88,male,Kevin,Republican,"[kevin brady, kevin brady primary, kevin brady for congress, kevin brady chief of staff, kevin brady congressman, kevin brady twitter, kevin brady baseball, kevin brady primary challenger, kevin brady dc office, kevin brady house ways and means]"
89,male,Robert,Democrat,"[robert brady, robert brady artist, robert brady museum, robert brady ceramics, robert brady obituary, robert brady and josephine baker, robert brady attorney, robert brady esq, robert brady cuernavaca, robert brady norwich]"
90,female,Corrine,Democrat,"[corrine brown, corrine brown florida, corrine brown staff, corrine brown committees, corrine brown twitter, corrine brown election, corrine brown go gata, corrine brown biography, corrine brown news, corrine brown office]"
91,male,Michael,Republican,"[michael burgess, michael burgess for congress, michael burgess twitter, michael burgess singer, michael burgess facebook, michael burgess primary, michael burgess committees, michael burgess staff, michael burgess actor, michael burgess mobile al]"
